query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
SELECT l.Timestamp FROM Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID WHERE Robot_ID = 10;,logic,ambiguous reference,neutral,"Robot_ID exists in both tables, but you didn’t specify which one you mean in the WHERE clause.",Understanding column reference ambiguity
"SELECT i.Description, r.Model FROM Incidents i INNER JOIN Robots r ON Robot_ID = r.Robot_ID;",logic,ambiguous reference,happiness,"Good use of JOIN!I However, in the condition ON Robot_ID = r.Robot_ID, the left-hand Robot_ID has no table qualifier.",Understanding the importance of table prefixes in multi-table queries
"SELECT r.Robot_ID, COUNT(*) FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID GROUP BY Robot_ID;",logic,ambiguous reference,anger,"No stress about grouping! This query is incorrect because the GROUP BY clause uses Robot_ID without a table alias, but the column exists in both Robots and Logs.",Understanding that GROUP BY clauses also require unambiguous column references
"SELECT e.Name, ac.Timestamp_of_Last_Use FROM Employees e JOIN Access_Codes ac ON Employee_ID = Employee_ID WHERE e.Division = 'Finance';",logic,ambiguous reference,calmness,"In the JOIN condition, 'Employee_ID = Employee_ID', it's unclear which refers to.",Understanding column reference ambiguity in JOIN
"SELECT i.Description, COUNT(*) FROM Incidents i JOIN Robots r ON i.Robot_ID = r.Robot_ID GROUP BY Description ORDER BY COUNT(*);",logic,ambiguous reference,sadness,Don't worry about aliases! Description in GROUP BY clause needs alias.,Understanding that GROUP BY clauses also require unambiguous column references
SELECT COUNT(DISTINCT Employee_ID) FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID;,logic,ambiguous reference,neutral,"When two tables have the same column name, you must use table aliases to disambiguate.",Understanding column reference ambiguity
"SELECT Employee_ID, Name FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID;",logic,ambiguous reference,anger,Take a deep breath! Pay attention to table column references to avoid ambiguity.,Understanding the importance of table prefixes in multi-table queries
"SELECT Robot_ID, Model FROM Robots r JOIN Incidents i ON r.Robot_ID = i.Robot_ID;",logic,ambiguous reference,calmness,Remember to specify column names in SELECT clause.,Understanding the importance of table prefixes in multi-table queries
"SELECT Employee_ID, Division FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID;",logic,ambiguous reference,neutral,Remember to specify column names in SELECT clause to avoid ambiguity.,Understanding the importance of table prefixes in multi-table queries
"SELECT Robot_ID, Status FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID;",logic,ambiguous reference,anger,Take a deep breath! Focus on clarifying which table the Robot_ID belongs to explicitly.,Understanding the importance of table prefixes in multi-table queries
"SELECT Incident_ID, Description, Robot_ID FROM Robots r JOIN Incidents i ON r.Robot_ID = i.Robot_ID;",logic,ambiguous reference,anger,Don't stress about mistakes. Pay attention to table column references to avoid ambiguity.,Understanding the importance of table prefixes in multi-table queries
"SELECT Employee_ID, Job_Role FROM Employees e JOIN Incidents i ON e.Employee_ID = i.Employee_ID;",logic,ambiguous reference,happiness,Great job! Be specific in selecting columns from different tables.,Understanding column reference ambiguity
"SELECT Employee_ID, Name, Timestamp FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID;",logic,ambiguous reference,happiness,Great work! Try specifying the table for Employee_ID to remove ambiguity.,Understanding column reference ambiguity
"SELECT Robot_ID, r.Model, COUNT(i.Incident_ID) AS Incident_Count FROM Robots r JOIN Incidents i ON r.Robot_ID = i.Robot_ID GROUP BY r.Robot_ID, r.Model;",logic,ambiguous reference,anger,Take a deep breath! Focus on clarifying which table the Robot_ID belongs to.,Understanding column reference ambiguity
"SELECT Employee_ID, e.Name, e.Division, r.Robot_ID, r.Status, l.Log_ID, l.Timestamp FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID JOIN Logs l ON r.Robot_ID = l.Robot_ID;",logic,ambiguous reference,happiness,Great job on joining tables! Remember to specify the table for Employee_ID to avoid confusion.,Understanding the importance of table prefixes in multi-table queries
"SELECT e.Name, r.Model FROM Employees e JOIN Robots r ON Employee_ID = Employee_ID;",logic,ambiguous reference,neutral,Consider specifying the table for Employee_ID in the ON clause to avoid ambiguity in multi-table queries.,Understanding column reference ambiguity in JOIN
"SELECT e.Name, i.Description FROM Employees e JOIN Incidents i ON Employee_ID = Employee_ID;",logic,ambiguous reference,calmness,Consider specifying table alias for Employee_ID in the ON clause.,Understanding column reference ambiguity in JOIN
"SELECT r.Model, l.Action_Description FROM Robots r JOIN Logs l ON Robot_ID = Robot_ID;",logic,ambiguous reference,sadness,It can be tough to distinguish columns with the same name in multi-table queries. Try aliasing tables to disambiguate columns.,Understanding column reference ambiguity in JOIN
"SELECT e.Name, ac.Level_of_Access FROM Employees e JOIN Access_Codes ac ON Employee_ID = Employee_ID;",logic,ambiguous reference,anger,Don't worry! Stay positive! Remember to specify the table for Employee_ID in the ON clause.,Understanding column reference ambiguity in JOIN
"SELECT e.Name, l.Action_Description FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID WHERE Timestamp > '2025-09-01';",logic,ambiguous reference,neutral,Disambiguate column by prefixing with table alias.,Understanding the importance of table prefixes in multi-table queries
"SELECT e.Name, i.Description FROM Employees e JOIN Incidents i ON e.Employee_ID = i.Employee_ID WHERE Employee_ID = 10;",logic,ambiguous reference,calmness,Remember to specify the table when using Employee_ID in multi-table queries.,Understanding column reference ambiguity
"SELECT r.Model, l.Timestamp FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID WHERE Robot_ID = 5;",logic,ambiguous reference,neutral,Carefully consider the context of the column in the WHERE clause to avoid ambiguity in multi-table queries.,Understanding column reference ambiguity
"SELECT e.Name, r.Model FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE Employee_ID > 50;",logic,ambiguous reference,neutral,Remember to specify the table when using Employee_ID in multi-table queries.,Understanding column reference ambiguity
"SELECT r.Model, COUNT(Log_ID) FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID GROUP BY Robot_ID;",logic,ambiguous reference,sadness,It can be tough to identify the right source of columns in multi-table queries. Specify the table for Robot_ID in the GROUP BY clause to avoid ambiguity.,Understanding that GROUP BY clauses also require unambiguous column references
"SELECT e.Employee_ID, COUNT(*) FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID GROUP BY Employee_ID;",logic,ambiguous reference,calmness,Consider using table aliases to clarify the Employee_ID column in the GROUP BY clause.,Understanding that GROUP BY clauses also require unambiguous column references
"SELECT e.Name, COUNT(Log_ID) FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID GROUP BY Name;",logic,ambiguous reference,sadness,It's okay to feel frustrated. Column Name in GROUP BY is ambiguous — qualify it with the table alias.,Understanding the importance of table prefixes in multi-table queries
"SELECT r.Model, i.Description FROM Robots r JOIN Incidents i ON r.Robot_ID = i.Robot_ID WHERE Description = 'Error';",logic,ambiguous reference,happiness,Great job exploring multi-table queries! Try specifying the table for Description in WHERE clause.,Understanding the importance of table prefixes in multi-table queries
"SELECT COUNT(*), e.Name FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY e.Job_Role;",logic,incorrect GROUP BY usage,sadness,"Don't worry, GROUP BY can be tricky! SELECT fields must appear in GROUP BY.",Understanding column consistency between SELECT and GROUP BY in JOIN queries
"SELECT Robot_ID, COUNT(*) FROM Logs GROUP BY Employee_ID;",logic,incorrect GROUP BY usage,happiness,"Good attempt! However, SELECT fields must appear in GROUP BY.",Understanding column consistency between SELECT and GROUP BY
"SELECT COUNT(*), r.Model FROM Robots r JOIN Employees e ON r.Employee_ID = e.Employee_ID GROUP BY e.Job_Role, r.Manufacturing_Date;",logic,incorrect GROUP BY usage,calmness,"You're close! However, r.Model is not in your GROUP BY clause.",Understanding column consistency between SELECT and GROUP BY in JOIN queries
"SELECT COUNT(*), ac.Level_of_Access FROM Access_Codes ac GROUP BY ac.Timestamp_of_Last_Use;",logic,incorrect GROUP BY usage,neutral,"Remember, SELECT fields must appear in GROUP BY.",Understanding column consistency between SELECT and GROUP BY
"SELECT Robot_ID, COUNT(*) FROM Incidents WHERE Description LIKE '%error%' GROUP BY Employee_ID;",logic,incorrect GROUP BY usage,sadness,"I understand GROUP BY can be confusing!  In this query, when using GROUP BY, make sure SELECT fields appear in GROUP BY.",Understanding column consistency between SELECT and GROUP BY
"SELECT Level_of_Access, MAX(Employee_ID) AS max_employee FROM Access_Codes GROUP BY Timestamp_of_Last_Use ORDER BY max_employee;",logic,incorrect GROUP BY usage,happiness,"Great job on using ORDER BY! However, SELECT fields must appear in GROUP BY.",Understanding column consistency between SELECT and GROUP BY
"SELECT COUNT(*), r.Model FROM Robots r WHERE r.Status = 'Active' GROUP BY r.Manufacturing_Date;",logic,incorrect GROUP BY usage,calmness,SELECT fields must appear in GROUP BY.,Understanding column consistency between SELECT and GROUP BY
"SELECT l.Action_Description, COUNT(*) FROM Logs l JOIN Employees e ON l.Employee_ID = e.Employee_ID GROUP BY e.Division;",logic,incorrect GROUP BY usage,sadness,I know it is challenging about GROUP BY. Make sure SELECT fields must appear in GROUP BY.,Understanding column consistency between SELECT and GROUP BY in JOIN queries
"SELECT Robot_ID, Model FROM Robots GROUP BY Model;",logic,incorrect GROUP BY usage,happiness,Good Start! But make sure to include aggregate functions when using GROUP BY.,Understanding correct usage of GROUP BY with aggregate functions
"SELECT e.Division, r.Model, COUNT(*) FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY e.Division ORDER BY COUNT(*);",logic,incorrect GROUP BY usage,anger,"Don't worry, it's an easy mistake! Just make sure that SELECT fields appear in GROUP BY.",Understanding column consistency between SELECT and GROUP BY in JOIN queries
"SELECT Employee_ID, Log_ID FROM Logs GROUP BY Employee_ID;",logic,incorrect GROUP BY usage,neutral,Remember to include aggregate functions when using GROUP BY.,Understanding correct usage of GROUP BY with aggregate functions
"SELECT Access_Code_ID, Level_of_Access, Timestamp_of_Last_Use FROM Access_Codes GROUP BY Access_Code_ID;",logic,incorrect GROUP BY usage,sadness,"Don't worry, GROUP BY can be tricky! It seems that you mix GROUP BY with ORDER BY.",Learning when to use GROUP BY vs. ORDER BY
"SELECT Division, Job_Role, COUNT(*) FROM Employees;",logic,incorrect GROUP BY usage,calmness,You're close! Remember to add GROUP BY clause.,Understanding correct usage of GROUP BY with aggregate functions
"SELECT Employee_ID, Level_of_Access, COUNT(*) FROM Access_Codes;",logic,incorrect GROUP BY usage,happiness,Great attempt! Remember to add GROUP BY clause.,Understanding correct usage of GROUP BY with aggregate functions
"SELECT Robot_ID, Employee_ID, MIN(Incident_ID) FROM Incidents;",logic,incorrect GROUP BY usage,anger,"Whoa, calm down! Try rearranging your query by adding GROUP BY clause.",Understanding correct usage of GROUP BY with aggregate functions
"SELECT Employee_ID, Level_of_Access, COUNT(*) FROM Access_Codes ORDER BY Employee_ID, Level_of_Access;",logic,incorrect GROUP BY usage,neutral,Remember to add GROUP BY clause to complete the query.,Understanding correct usage of GROUP BY with aggregate functions
"SELECT Robot_ID, Action_Description, COUNT(*) FROM Logs GROUP BY Robot_ID;",logic,incorrect GROUP BY usage,sadness,I understand that GROUP BY can be tricky! Just make sure that SELECT fields appear in GROUP BY.,Understanding column consistency between SELECT and GROUP BY
"SELECT Division, Name FROM Employees GROUP BY Name;",logic,incorrect GROUP BY usage,anger,Don't worry! You are mixing GROUP BY with ORDER BY.,Learning when to use GROUP BY vs. ORDER BY
"SELECT Job_Role, COUNT(Employee_ID) FROM Employees GROUP BY Division, Job_Role HAVING COUNT(Employee_ID) > 5;",logic,incorrect GROUP BY usage,happiness,"Great job using HAVING! However, you are grouping by both Division and Job_Role, but you only selected Job_Role in the result. This can cause errors or ambiguity.",Understanding column consistency between SELECT and GROUP BY
